data_layer,数据获取方,来源编号,date,日均气温_℃,日最高气温_℃,日最低气温_℃,日最高体感温度_℃,日均体感温度_℃,日均相对湿度_pct,日均露点_℃,日均云量_pct,日均风速_kmh,日最大风速_kmh,日降水量_mm,全日降水小时数_h,日最低能见度_m,日均能见度_m,雾时数_h,轻雾时数_h,日均PM25_ugm3,日均PM10_ugm3,白天降水量_mm,白天降水小时数_h,白天均能见度_m,白天雾时数_h,海表温度_均值_℃,海表温度_最高_℃,最大浪高_m,source_label
L0,脚本抓取,L0-B1d,2017-03-08,1.98,9.0,-5.0,3.9,-2.72,37.6,-11.64,0.0,10.28,19.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-09,2.4,6.9,-2.0,2.1,-1.86,48.1,-8.17,0.0,9.37,18.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-10,5.19,16.8,-3.5,11.9,1.46,52.0,-4.78,3.9,8.09,20.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-11,7.21,11.4,3.4,7.8,3.15,52.4,-2.03,92.0,12.03,19.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-12,4.96,9.3,-1.4,5.9,-0.24,31.7,-11.54,19.8,14.43,25.1,0.2,1,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-13,2.7,8.2,-1.7,4.6,-1.89,37.8,-11.0,0.0,10.27,20.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-14,3.25,10.9,-2.6,8.0,-0.93,49.2,-7.48,5.8,9.73,18.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-15,3.17,9.3,-2.3,5.0,-1.24,54.2,-5.68,21.1,12.09,24.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-16,5.55,11.3,-0.8,7.2,1.23,54.5,-3.14,63.3,12.83,20.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-17,6.82,12.9,1.2,8.9,2.41,57.8,-1.14,58.2,15.28,27.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-18,6.09,10.7,1.9,7.7,2.72,65.7,-0.14,11.5,9.77,13.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-19,6.48,11.4,0.8,8.2,3.0,54.7,-2.43,45.9,8.77,16.6,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-20,6.16,9.5,-0.3,4.9,1.07,43.7,-6.27,86.3,15.52,30.5,0.1,0,,,,,,,0.1,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-21,4.75,9.9,0.1,6.2,-0.44,31.1,-11.5,0.0,14.56,27.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-22,6.24,11.5,1.8,7.4,1.91,50.9,-3.41,73.3,12.72,23.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-23,6.22,9.7,2.1,5.2,1.62,39.5,-7.0,88.4,12.02,18.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-24,4.59,7.7,1.4,4.1,1.27,53.9,-4.18,97.5,4.66,10.5,0.1,0,,,,,,,0.1,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-25,4.38,8.3,1.9,5.9,1.38,78.7,0.85,73.0,7.32,12.8,0.5,1,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-26,5.35,9.5,-0.4,5.7,1.25,55.8,-3.7,75.3,10.51,18.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-27,6.12,11.3,-0.1,7.9,1.83,46.1,-5.12,17.1,11.79,21.1,0.4,1,,,,,,,0.4,1,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-28,6.01,11.1,-1.2,6.7,1.43,49.1,-4.28,19.1,14.58,23.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-29,8.91,14.9,4.3,11.0,4.06,59.5,1.25,43.4,21.6,30.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-30,9.15,12.4,5.9,7.1,4.28,40.8,-3.92,67.0,15.6,27.1,0.9,1,,,,,,,0.9,1,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-03-31,7.71,13.0,2.4,11.3,3.19,45.8,-3.97,24.2,14.33,27.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-01,6.6,11.1,1.0,7.9,3.1,51.2,-3.47,28.5,8.02,14.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-02,9.93,18.1,2.0,13.6,5.45,43.5,-2.73,15.0,15.52,27.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-03,10.87,17.9,4.4,14.4,7.57,55.3,1.64,15.3,11.73,21.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-04,11.05,14.9,6.6,12.3,8.15,61.3,3.68,94.9,10.23,17.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-05,9.42,11.9,5.6,9.1,7.2,79.0,5.76,61.0,8.6,16.8,1.0,3,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-06,10.98,19.5,6.0,17.7,8.35,77.8,6.85,34.0,13.88,26.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-07,9.94,13.2,6.0,11.2,7.37,71.0,4.6,45.8,10.53,17.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-08,11.71,15.1,6.4,10.0,6.77,40.5,-3.06,90.6,17.97,32.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-09,10.04,15.0,5.9,10.2,5.49,31.9,-6.96,75.5,12.72,20.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-10,10.92,16.8,3.6,13.0,6.68,49.8,0.31,77.6,16.23,28.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-11,11.14,16.8,6.2,14.6,6.7,36.7,-4.75,8.8,14.4,22.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-12,8.46,14.3,4.3,8.6,4.02,43.5,-4.63,2.0,13.75,30.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-13,10.17,15.0,3.3,12.7,7.2,50.8,-0.54,35.2,8.84,22.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-14,15.55,21.8,9.4,19.1,12.06,51.4,4.82,19.6,17.18,27.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-15,17.68,24.9,11.5,21.8,14.06,41.0,3.76,31.5,16.55,30.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-16,15.58,20.5,10.7,14.7,11.82,43.5,2.08,99.8,14.83,26.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-17,13.62,17.2,10.6,15.1,11.75,80.9,10.31,71.0,15.19,27.2,2.3,3,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-18,15.02,22.2,7.7,18.1,10.55,33.3,-3.32,42.5,16.01,27.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-19,10.02,13.7,4.9,10.6,7.18,56.6,1.16,75.9,6.88,15.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-20,14.27,22.8,7.3,18.4,10.57,47.7,1.26,40.5,15.12,22.5,0.3,1,,,,,,,0.3,1,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-21,13.04,17.3,9.3,14.4,8.73,37.8,-1.49,5.6,15.87,21.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-22,15.08,19.6,9.5,16.1,10.37,47.6,3.82,17.6,24.29,38.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-23,12.53,15.7,8.2,12.4,8.72,47.9,1.31,43.6,15.41,28.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-24,11.76,17.0,6.5,13.0,8.12,47.2,-0.26,26.1,12.69,31.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-25,11.53,16.3,6.9,13.3,7.41,38.4,-3.47,28.0,13.17,20.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-26,13.17,20.0,7.5,16.9,9.46,37.5,-2.76,18.8,11.24,18.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-27,17.68,26.0,7.9,21.7,13.23,24.8,-4.68,21.8,13.94,23.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-28,18.18,25.7,12.5,23.8,14.02,29.3,-1.05,27.0,15.58,34.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-29,21.4,27.9,11.2,24.5,17.54,31.3,3.07,3.6,17.85,29.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-04-30,19.77,23.5,14.3,18.3,14.69,21.3,-4.01,41.0,18.9,31.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-01,16.72,20.7,13.6,18.6,13.65,35.1,0.52,4.6,10.09,16.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-02,15.46,18.9,12.1,17.5,13.99,58.1,6.79,17.5,6.96,14.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-03,14.34,17.8,10.8,17.0,13.52,80.3,10.88,65.0,9.68,21.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-04,14.51,17.3,12.8,16.7,13.67,84.7,11.9,55.0,10.41,20.3,7.1,8,,,,,,,1.4,3,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-05,14.18,19.3,11.2,14.3,9.67,43.0,-0.99,29.7,18.56,39.0,0.7,2,,,,,,,0.7,2,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-06,14.65,20.7,10.2,18.1,11.24,39.2,-0.49,2.0,12.06,26.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-07,17.0,22.4,7.3,19.3,13.18,42.3,3.29,13.8,17.96,33.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-08,20.85,24.9,16.8,23.2,17.93,45.3,7.99,77.2,18.27,24.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-09,16.1,19.6,12.1,17.1,13.79,65.2,9.33,30.6,16.87,23.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-10,15.88,19.2,11.6,17.8,14.06,74.1,11.07,23.8,16.72,25.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-11,21.14,31.0,13.3,25.5,17.56,38.5,3.29,1.2,19.47,35.6,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-12,16.45,21.9,8.8,17.7,12.29,36.7,0.26,15.7,18.08,33.7,0.3,1,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-13,18.5,23.8,12.2,21.2,14.86,38.0,2.11,25.0,16.47,25.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-14,17.49,22.8,12.3,21.8,14.36,40.3,2.81,21.4,13.91,27.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-15,17.1,21.2,12.9,19.5,14.23,47.3,5.51,22.7,14.33,23.5,0.5,1,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-16,18.73,24.2,14.3,22.4,15.87,51.6,8.29,26.6,18.57,33.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-17,19.59,24.6,14.8,24.2,18.31,63.0,12.15,30.2,15.31,27.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-18,21.93,26.7,17.9,26.4,20.41,61.0,13.99,0.0,21.51,34.6,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-19,21.9,25.8,18.5,25.0,21.79,68.0,15.55,18.5,15.86,28.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-20,19.24,21.9,15.4,23.2,19.69,74.5,14.49,32.8,9.71,15.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-21,18.14,20.6,14.8,22.3,18.87,79.9,14.52,57.6,7.92,14.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-22,16.72,19.5,14.0,16.3,13.84,68.9,10.68,97.6,21.62,25.8,11.3,8,,,,,,,7.4,4,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-23,16.49,21.0,13.3,21.2,15.08,64.2,9.28,25.0,11.82,19.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-24,20.61,26.7,14.1,27.0,19.46,59.7,11.82,10.5,14.45,25.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-25,18.83,23.9,15.0,20.8,14.71,36.5,2.21,6.1,20.13,36.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-26,17.07,21.7,12.2,19.3,14.89,52.9,6.77,2.2,12.11,27.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-27,17.7,21.0,13.7,20.1,16.73,66.1,10.82,19.9,11.2,17.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-28,20.53,25.0,14.7,26.3,20.85,67.4,13.87,57.8,9.05,16.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-29,18.23,22.1,16.3,20.1,15.69,54.4,8.14,96.2,15.14,26.5,5.1,8,,,,,,,4.3,6,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-30,17.1,19.4,15.8,20.9,17.32,83.1,14.16,93.8,8.31,16.3,4.8,5,,,,,,,2.5,3,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-05-31,19.11,23.2,15.7,23.3,18.91,81.5,15.77,37.7,17.07,28.5,14.4,4,,,,,,,1.3,2,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-01,18.89,26.1,13.5,24.5,17.97,60.2,9.31,0.0,9.52,18.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-02,15.41,17.5,12.4,14.0,12.43,59.8,7.48,50.2,16.12,27.6,1.9,5,,,,,,,1.9,5,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-03,17.04,21.8,9.6,20.6,14.97,58.8,8.54,30.6,14.72,27.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-04,20.05,24.4,15.6,24.8,18.32,56.8,11.08,10.7,16.95,27.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-05,19.78,23.7,15.2,24.4,19.35,64.5,12.63,96.7,10.91,18.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-06,17.27,18.8,13.6,18.4,16.68,74.2,12.55,88.1,9.65,25.6,4.0,6,,,,,,,2.6,4,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-07,19.42,25.5,13.6,25.3,18.8,70.2,13.27,19.5,13.64,19.2,0.1,0,,,,,,,0.1,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-08,24.01,30.2,18.7,31.1,22.46,49.5,12.32,37.0,17.81,25.3,0.7,1,,,,,,,0.7,1,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-09,22.77,27.8,20.0,27.8,20.68,40.6,8.55,22.1,14.72,25.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-10,20.14,23.6,15.8,21.2,17.27,37.5,4.26,90.8,13.42,18.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-11,19.79,25.2,13.0,23.3,17.98,43.2,5.88,60.0,8.41,18.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-12,19.99,23.7,16.0,23.6,18.56,50.9,9.14,43.6,8.8,17.5,0.6,2,,,,,,,0.6,2,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-13,20.04,24.7,13.6,23.4,18.88,54.5,10.02,5.5,10.65,19.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-14,26.6,33.8,18.0,32.1,24.24,38.9,10.63,6.5,20.15,25.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-15,29.79,37.8,23.5,36.7,27.5,30.0,9.62,92.7,17.16,24.5,0.4,1,,,,,,,0.4,1,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-16,29.92,36.6,25.2,35.2,28.02,35.5,12.11,21.9,19.96,26.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-17,26.44,31.2,23.2,32.7,26.57,54.6,16.39,69.8,16.67,26.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-18,25.52,29.2,22.3,28.9,25.54,58.5,16.59,60.0,17.97,29.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-19,23.32,26.5,21.0,26.7,24.81,72.0,17.82,61.2,10.82,22.3,2.0,5,,,,,,,0.9,3,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-20,23.23,29.2,20.1,31.4,25.46,79.5,19.19,33.2,10.68,22.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-21,22.89,26.5,19.5,28.7,25.21,79.3,18.82,65.3,8.51,16.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-22,22.15,25.1,20.2,25.3,22.79,75.8,17.53,99.9,14.57,21.3,2.7,8,,,,,,,1.0,3,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-23,20.5,22.2,19.1,22.1,20.38,83.2,17.51,99.1,19.64,25.5,15.2,20,,,,,,,3.8,8,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-24,20.07,23.3,17.5,23.5,20.25,84.1,17.22,93.6,16.77,24.4,15.6,14,,,,,,,7.8,8,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-25,21.41,25.1,16.5,28.1,23.45,79.3,17.48,51.8,6.38,12.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-26,22.48,25.8,18.2,29.5,25.19,82.0,19.15,23.4,7.37,12.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-27,22.75,25.3,19.9,29.2,25.67,84.0,19.84,27.1,8.91,16.6,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-28,22.97,25.4,19.9,29.9,26.55,87.0,20.65,37.0,7.08,15.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-29,23.28,25.7,20.9,30.2,26.77,87.9,21.13,35.0,8.71,15.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-06-30,24.73,27.9,21.4,32.4,27.97,84.8,21.95,36.2,13.55,23.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-01,25.17,27.6,22.4,31.6,28.5,84.7,22.38,69.8,14.1,22.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-02,23.83,25.6,21.5,29.5,27.5,85.9,21.28,97.3,6.6,12.6,0.1,0,,,,,,,0.1,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-03,23.98,26.7,21.2,30.9,27.8,87.5,21.68,34.7,7.81,16.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-04,24.63,27.4,21.5,32.8,29.23,88.0,22.38,65.4,6.39,11.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-05,25.01,27.6,22.2,32.4,29.39,86.0,22.37,75.8,6.46,12.3,3.2,2,,,,,,,3.2,2,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-06,24.71,26.3,22.5,29.8,28.41,90.5,22.99,84.8,12.98,22.1,3.2,4,,,,,,,0.2,1,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-07,26.5,30.4,23.5,33.8,29.25,82.0,22.9,62.1,19.54,31.7,46.4,9,,,,,,,0.3,1,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-08,26.36,28.0,24.6,32.2,30.5,86.8,23.96,19.1,15.26,28.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-09,26.24,27.8,24.5,33.7,31.53,90.0,24.43,78.2,8.29,18.0,0.2,0,,,,,,,0.1,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-10,25.97,29.5,22.9,34.7,31.03,91.7,24.42,53.3,10.1,19.6,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-11,27.42,30.8,23.7,36.4,31.62,79.2,23.42,12.4,13.32,22.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-12,27.86,30.4,26.0,35.7,32.24,83.7,24.83,6.9,17.51,29.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-13,28.0,30.4,25.9,35.8,33.12,85.6,25.31,10.1,14.27,25.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-14,27.19,31.3,25.3,38.4,32.91,87.8,24.92,80.2,7.72,16.4,8.7,3,,,,,,,5.9,2,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-15,26.26,27.9,24.4,33.3,31.71,90.8,24.6,92.8,8.06,18.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-16,26.38,28.8,24.0,35.6,32.0,89.0,24.36,72.3,6.83,14.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-17,25.75,28.1,22.5,33.6,30.91,89.4,23.8,20.8,6.86,14.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-18,26.88,29.1,24.2,34.3,31.94,88.8,24.83,23.6,11.8,17.0,1.2,3,,,,,,,1.1,3,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2017-07-19,25.97,27.4,24.5,31.7,30.38,90.8,24.33,73.8,13.42,19.4,16.8,12,,,,,,,2.6,5,,,,,,friend_archive_open_meteo_era5
